ID_MUNIC,MUNIC,DRS,NOME DRS,RRAS,COD_RS,NOME,COD MUN RS
351050,Caraguatatuba,17,DRS XVII TAUBATE,17,35173,Litoral Norte,351050
352040,Ilhabela,17,DRS XVII TAUBATE,17,35173,Litoral Norte,352040
355070,Sao Sebastiao,17,DRS XVII TAUBATE,17,35173,Litoral Norte,355070
355540,Ubatuba,17,DRS XVII TAUBATE,17,35173,Litoral Norte,355540
350250,Aparecida,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,350250
350315,Arapei,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,350315
350350,Areias,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,350350
350490,Bananal,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,350490
350860,Cachoeira Paulista,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,350860
350970,Campos do Jordao,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,350970
350995,Canas,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,350995
351340,Cruzeiro,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,351340
351360,Cunha,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,351360
351840,Guaratingueta,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,351840
352630,Lagoinha,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,352630
352660,Lavrinhas,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,352660
352720,Lorena,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,352720
353230,Natividade da Serra,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,353230
353800,Pindamonhangaba,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,353800
353850,Piquete,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,353850
354075,Potim,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,354075
354190,Queluz,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,354190
354230,Redencao da Serra,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,354230
354430,Roseira,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,354430
354820,Santo Antonio do Pinhal,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,354820
354860,Sao Bento do  Sapucai,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,354860
354960,Sao Jose do  Barreiro,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,354960
355000,Sao Luis do  Paraitinga,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,355000
355200,Silveiras,17,DRS XVII TAUBATE,17,35172,Circ. da Fe-V. Historico,355200
355410,Taubate,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,355410
355480,Tremembe,17,DRS XVII TAUBATE,17,35174,V. Paraiba - R. Serrana,355480
350635,Bertioga,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,350635
351350,Cubatao,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,351350
351870,Guaruja,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,351870
352210,Itanhaem,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,352210
353110,MongaguA,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,353110
353760,Peruibe,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,353760
354100,Praia Grande,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,354100
354850,Santos,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,354850
355100,Sao Vicente,4,DRS IV BAIXADA SANTISTA,7,35041,Baixada Santista,355100
351380,Diadema,1,DRs I CAPITAL,1,35015,Grande ABC,351380
352940,Maua,1,DRs I CAPITAL,1,35015,Grande ABC,352940
354330,Ribeirao Pires,1,DRs I CAPITAL,1,35015,Grande ABC,354330
354410,Rio Grande da Serra,1,DRs I CAPITAL,1,35015,Grande ABC,354410
354780,Santo Andre,1,DRs I CAPITAL,1,35015,Grande ABC,354780
354870,Sao Bernardo do  Campo,1,DRs I CAPITAL,1,35015,Grande ABC,354870
354880,Sao Caetano do Sul,1,DRs I CAPITAL,1,35015,Grande ABC,354880
350570,Barueri,1,DRs I CAPITAL,5,35014,Rota dos Bandeirantes,350570
351060,Carapicuiba,1,DRs I CAPITAL,5,35014,Rota dos Bandeirantes,351060
351300,Cotia,1,DRs I CAPITAL,4,35013,Mananciais,351300
351500,Embu,1,DRs I CAPITAL,4,35013,Mananciais,351500
351510,Embu-Guacu,1,DRs I CAPITAL,4,35013,Mananciais,351510
352220,Itapecerica da Serra,1,DRs I CAPITAL,4,35013,Mananciais,352220
